epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17758.2,0.01771,0.41746,1.25202,0.57407,0.43045,0.4231,0.21146,0.02618,0.81028,1.70783,0.0005941,0.0005941,0.0005941
43,18207.3,0.01754,0.4101,1.25187,0.58045,0.42585,0.42863,0.21425,0.02595,0.83328,1.67849,0.0005842,0.0005842,0.0005842
44,18657.6,0.01784,0.42279,1.25566,0.54703,0.46098,0.43696,0.21685,0.02586,0.81312,1.67133,0.0005743,0.0005743,0.0005743
45,19113,0.01735,0.40802,1.22073,0.52177,0.46821,0.43183,0.21305,0.02598,0.82792,1.68278,0.0005644,0.0005644,0.0005644
46,19567.3,0.01694,0.4047,1.21169,0.58338,0.41618,0.41978,0.20716,0.02615,0.83126,1.689,0.0005545,0.0005545,0.0005545
47,20023.2,0.01686,0.3882,1.20902,0.57903,0.42933,0.43374,0.2105,0.02626,0.85438,1.69686,0.0005446,0.0005446,0.0005446
48,20481.4,0.01746,0.40648,1.21848,0.56863,0.43813,0.43747,0.21133,0.02633,0.84822,1.69598,0.0005347,0.0005347,0.0005347
49,20937.2,0.01743,0.40474,1.23636,0.61465,0.41951,0.43474,0.21512,0.0261,0.83225,1.6817,0.0005248,0.0005248,0.0005248
50,21396.4,0.01724,0.39316,1.2079,0.58826,0.42738,0.43383,0.21233,0.02606,0.83413,1.68638,0.0005149,0.0005149,0.0005149
51,21853.8,0.01642,0.37784,1.18197,0.60637,0.41908,0.43316,0.2121,0.02625,0.84702,1.71273,0.000505,0.000505,0.000505
52,22312.5,0.01696,0.38,1.19044,0.59178,0.4422,0.42986,0.21016,0.02617,0.84482,1.70848,0.0004951,0.0004951,0.0004951
53,22776.2,0.0167,0.38607,1.17939,0.57363,0.45106,0.43104,0.21444,0.02632,0.82165,1.724,0.0004852,0.0004852,0.0004852
54,23239.5,0.01642,0.37786,1.16188,0.57904,0.43731,0.42636,0.21397,0.02614,0.83536,1.69614,0.0004753,0.0004753,0.0004753
55,23699.1,0.01673,0.37885,1.20978,0.54121,0.45087,0.42307,0.21231,0.02623,0.84129,1.70905,0.0004654,0.0004654,0.0004654
56,24163.8,0.01694,0.38658,1.20405,0.52198,0.4841,0.42655,0.20867,0.0264,0.84641,1.72299,0.0004555,0.0004555,0.0004555
